Dataset,Method,Top-1 (%),Top-3 (%),Top-5 (%)
Short (116),A_semantic,78.44827586206897,87.93103448275862,89.65517241379311
Short (116),B_hybrid,71.55172413793103,91.37931034482759,93.10344827586206
Short (116),C_semantic_reranker,83.62068965517241,88.79310344827587,89.65517241379311
Short (116),D_hybrid_reranker,82.75862068965517,88.79310344827587,89.65517241379311
Long (41),A_semantic,87.8048780487805,95.1219512195122,95.1219512195122
Long (41),B_hybrid,87.8048780487805,100.0,100.0
Long (41),C_semantic_reranker,90.2439024390244,97.5609756097561,97.5609756097561
Long (41),D_hybrid_reranker,90.2439024390244,97.5609756097561,97.5609756097561
