semantic_top_k,final_top_k,short_top1,long_top1,mean_top1,mean_top3,mean_top5,selection_score
10,5,0.8586956521739131,0.90625,0.8824728260869565,0.9354619565217391,0.9517663043478262,0.9061141304347826
15,5,0.8586956521739131,0.90625,0.8824728260869565,0.9354619565217391,0.9463315217391304,0.9052989130434783
20,5,0.8586956521739131,0.90625,0.8824728260869565,0.9354619565217391,0.9408967391304348,0.9044836956521739
10,3,0.8586956521739131,0.90625,0.8824728260869565,0.9354619565217391,0.9354619565217391,0.9036684782608696
15,3,0.8586956521739131,0.90625,0.8824728260869565,0.9354619565217391,0.9354619565217391,0.9036684782608696
20,3,0.8586956521739131,0.90625,0.8824728260869565,0.9354619565217391,0.9354619565217391,0.9036684782608696
30,5,0.8586956521739131,0.90625,0.8824728260869565,0.9300271739130435,0.9408967391304348,0.903125
40,5,0.8586956521739131,0.90625,0.8824728260869565,0.9300271739130435,0.9408967391304348,0.903125
30,3,0.8586956521739131,0.90625,0.8824728260869565,0.9300271739130435,0.9300271739130435,0.9014945652173912
40,3,0.8586956521739131,0.90625,0.8824728260869565,0.9300271739130435,0.9300271739130435,0.9014945652173912
5,5,0.8478260869565217,0.90625,0.8770380434782609,0.9096467391304348,0.9252717391304348,0.8924252717391304
5,3,0.8478260869565217,0.90625,0.8770380434782609,0.9096467391304348,0.9096467391304348,0.8900815217391305
